store_id,name,address,city,state,zipcode,phone,latitude,longitude
1183,KEY WEST-ROOSVLT,3704 N Roosevelt Blvd,Key West,FL,33040,(305) 293-7606,24.571897,-81.756906
10927,MARATHON,5595 Overseas Hwy,Marathon,FL,33050,(305) 743-0707,24.716418,-81.073326
5090,TAVERNIER,91400 Overseas Hwy,Tavernier,FL,33070,(305) 852-2463,25.004612,-80.522609
37956,KEY LARGO,101000 Overseas Hwy,Key Largo,FL,33037,(305) 451-5861,25.108703,-80.427325
10537,FLORIDA CITY,425 Se 1st Ave,Florida City,FL,33034-5009,(305) 248-9285,25.442581,-80.474594
36983,NORTH HOMESTEAD,13690 Biscayne Dr,Homestead,FL,33033,(305) 247-2704,25.499222,-80.411901
6103,NARANJA,26601 Us Hwy 1,Naranja,FL,33032,(305) 258-0341,25.519399,-80.426093
34014,SIVLER PALMS,23351 Sw 112th Ave,Homestead,FL,33032,(305) 258-7837,25.550276,-80.371613
31341,"HOMESTEAD, CAMPB",2880 Ne 8th St,Homestead,FL,33033,(305) 242-9774,25.477004,-80.434625
1108,HOMESTEAD,30335 S Federal Hwy,Homestead,FL,33030,(305) 247-6484,25.485196,-80.459808
12215,CARIBBEAN,10855 Caribbean Blvd,Cutler Ridge,FL,33157,(305) 254-3487,25.579132,-80.36734
31056,FLORIDA CITY W*M,33501 S DIXIE HWY (Walmart #2727),Florida City,FL,33034,(305) 247-2979,25.457704,-80.473083
10946,MIAMI- S. W. 104,15295 Sw 104th St,Miami,FL,33196,(305) 388-0560,25.670286,-80.443349
11810,COUNTRY WALK,13708 Sw 152nd St,Miami,FL,33177,(305) 232-2860,25.625854,-80.415527
17014,KENDALL/SW 157,15715 Sw 88th St,Miami,FL,33193,(305) 387-4249,25.684779,-80.446643
5543,CORAL REEF,11207 Sw 152nd St,Miami,FL,33157-1101,(305) 255-3594,25.627942,-80.376025
12309,SNAPPER CREEK,12198 Sw 117th Ave,Miami,FL,33186,(786) 562-8426,25.65558,-80.383886
1856,PERRINE,18295 S Dixie Hwy,Perrine,FL,33157,(305) 238-7129,25.600886,-80.352328
7088,QUAIL ROOST,11575 Quail Roost Road,South Miami Heights,FL,33157,(305) 252-8622,25.592569,-80.379254
18735,KING'S BAY,14401 S Dixie Hwy,Miami,FL,33176,(305) 238-2615,25.636053,-80.336198
32830,EUREKA & 137TH,18340 Sw 137th Ave,Miami,FL,33177,(305) 235-5573,25.598176,-80.414039
38522,SOUTH KENDALL,11115 Sw 132 Avenue,Miami,FL,33186,(305) 387-7007,25.664239,-80.407332
1167,SUNILAND,12647 S Dixie Hwy,Pinecrest,FL,33156,(305) 233-0058,25.652864,-80.329566
16795,OLD CUTLER/FRANJ,20315 Old Cutler Road,Miami,FL,33189,(305) 235-5600,25.578119,-80.336189
7230,SUMMIT,11500 Sw 88th St,Miami,FL,33156,(305) 595-2347,25.685984,-80.382764
4664,KENDALL-LAKES,13101 N Kendall Drive,Miami,FL,33186,(305) 386-3998,25.686063,-80.403456
3383,SUNSET,9681 Sw 72nd St,Miami,FL,33173,(305) 598-4933,25.702003,-80.349437
26474,WEST CORAL WAY,12185 Sw 26th St,Miami,FL,33175,(305) 229-2005,25.744692,-80.39174
7266,TAMIAMI,11990 Sw 8th Street,Miami,FL,33184,(305) 221-8542,25.76053,-80.390492
7295,MIAMI-BIRD RD,11301 Sw 40th St,Miami,FL,33165,(305) 223-0179,25.732613,-80.378134
6431,SWEETWATER,10530 W Flagler St,Sweetwater,FL,33174-1631,(305) 552-8401,25.768213,-80.366668
2263,FIU,9850 Sw 8th St,Miami,FL,33174,(305) 223-8687,25.761217,-80.354963
